"contributors_enabled","created_at","default_profile","default_profile_image","description","entities__url__urls__display_url","entities__url__urls__expanded_url","entities__url__urls__indices__001","entities__url__urls__indices__002","entities__url__urls__url","favourites_count","follow_request_sent","followers_count","following","friends_count","geo_enabled","has_extended_profile","id","id_str","is_translation_enabled","is_translator","lang","listed_count","location","name","notifications","profile_background_color","profile_background_image_url","profile_background_image_url_https","profile_background_tile","profile_banner_url","profile_image_url","profile_image_url_https","profile_link_color","profile_sidebar_border_color","profile_sidebar_fill_color","profile_text_color","profile_use_background_image","protected","screen_name","statuses_count","time_zone","translator_type","url","utc_offset","verified","entities__|","entities__|__urls__display_url","entities__|__urls__expanded_url","entities__|__urls__indices__001","entities__|__urls__indices__002","entities__|__urls__url","entities__description__urls__display_url","entities__description__urls__expanded_url","entities__description__urls__indices__001","entities__description__urls__indices__002","entities__description__urls__url"
"False","1417384037","True","False","Official Twitter page of Alaska Governor Bill Walker; honored to serve AK w/ @LtGovMallott. RTs ≠ endorsements.Tweets signed ""-BW"" come directly from Governor.","gov.alaska.gov","http://gov.alaska.gov","0","22","http://t.co/NO67LyZvUR","115","False","5870","False","550","True","False","2915095729","2915095729","False","False","en","190","Alaska","Governor Bill Walker","False","C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","False","https://pbs.twimg.com/profile_banners/2915095729/1417385137","http://pbs.twimg.com/profile_images/737753674466787329/rmi2xV_E_normal.jpg","https://pbs.twimg.com/profile_images/737753674466787329/rmi2xV_E_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333","True","False","AkGovBillWalker","1642","null","none","http://t.co/NO67LyZvUR","null","True","","","","","","","","","","",""
"False","1240239576","False","False","U.S. Senator from Minnesota. Follows, Retweets, Replies ≠ endorsement","amyklobuchar.com","http://www.amyklobuchar.com","0","22","http://t.co/mGGFBfggto","24","False","170717","False","91751","False","False","33537967","33537967","False","False","en","2493","","Amy Klobuchar","False","026113","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","False","","http://pbs.twimg.com/profile_images/1815362035/AJK_Twitter_normal.jpg","https://pbs.twimg.com/profile_images/1815362035/AJK_Twitter_normal.jpg","026113","F6D73F","89BCEE","3D3C3D","True","False","amyklobuchar","5567","Central Time (US & Canada)","none","http://t.co/mGGFBfggto","-18000","True","","","","","","","","","","",""
"False","1366837593","False","False","Congressman for Maryland's 4th Congressional District, former Army Aviator, father and husband","anthonybrown.com","http://www.anthonybrown.com","0","23","https://t.co/NYPWOVmoAx","90","False","6067","False","369","True","True","1378000346","1378000346","False","False","en","170","Mitchellville, MD","Anthony G. Brown","False","184466","http://pbs.twimg.com/profile_background_images/884068111/76c403a1354bd42620a38d317f6d0a23.jpeg","https://pbs.twimg.com/profile_background_images/884068111/76c403a1354bd42620a38d317f6d0a23.jpeg","True","https://pbs.twimg.com/profile_banners/1378000346/1479909083","http://pbs.twimg.com/profile_images/801128012573970433/2MGZIRal_normal.jpg","https://pbs.twimg.com/profile_images/801128012573970433/2MGZIRal_normal.jpg","6B2E13","FFFFFF","DDEEF6","333333","False","False","AnthonyBrownMD4","1878","Eastern Time (US & Canada)","none","https://t.co/NYPWOVmoAx","-14400","True","","","","","","","","","","",""
"False","1300739574","False","False","Husband of 43 yrs, Dad of 4, Papaw of 6. Lifelong Arkansan. Governor of Arkansas. Former Congressman, Admin. of DEA, Under Sec. of Homeland Security.","governor.arkansas.gov","http://www.governor.arkansas.gov","0","23","https://t.co/b38CUNlZHi","440","False","25747","False","598","True","True","269992801","269992801","False","False","en","420","Arkansas ","Gov. Asa Hutchinson","False","C0DEED","http://pbs.twimg.com/profile_background_images/378800000022012499/f440cc71434509f7036d04f5ed7cd67e.jpeg","https://pbs.twimg.com/profile_background_images/378800000022012499/f440cc71434509f7036d04f5ed7cd67e.jpeg","False","https://pbs.twimg.com/profile_banners/269992801/1421159193","http://pbs.twimg.com/profile_images/556230402969317376/u03iDSs4_normal.jpeg","https://pbs.twimg.com/profile_images/556230402969317376/u03iDSs4_normal.jpeg","0084B4","FFFFFF","DDEEF6","333333","False","False","AsaHutchinson","3778","Central Time (US & Canada)","none","https://t.co/b38CUNlZHi","-18000","True","","","","","","","","","","",""
"False","1294329706","False","False","I am proud to represent the 8th Congressional District of Georgia.","austinscott.house.gov","http://austinscott.house.gov","0","22","http://t.co/GQwXIhub9a","12","False","13048","False","313","True","False","234797704","234797704","False","False","en","735","Ashburn, GA","Rep. Austin Scott","False","11172E","http://pbs.twimg.com/profile_background_images/535023703/Twitter_Graphic.jpg","https://pbs.twimg.com/profile_background_images/535023703/Twitter_Graphic.jpg","False","https://pbs.twimg.com/profile_banners/234797704/1493394907","http://pbs.twimg.com/profile_images/1801707886/11-01-05_-_Ceremonial_Swearing_In_Photo__1__normal.jpg","https://pbs.twimg.com/profile_images/1801707886/11-01-05_-_Ceremonial_Swearing_In_Photo__1__normal.jpg","11172E","11172E","CCCDDB","11172E","True","False","AustinScottGA08","2022","null","none","http://t.co/GQwXIhub9a","null","True","","","","","","","","","","",""
"False","1255553223","True","False","","benniethompson.house.gov","http://benniethompson.house.gov","0","22","http://t.co/POCpyzRcHb","27","False","6707","False","428","False","False","82453460","82453460","False","False","en","484","Bolton, Mississippi","RepBThompson","False","C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","False","https://pbs.twimg.com/profile_banners/82453460/1468591595","http://pbs.twimg.com/profile_images/501754877597347841/O6OEfrSm_normal.jpeg","https://pbs.twimg.com/profile_images/501754877597347841/O6OEfrSm_normal.jpeg","1DA1F2","C0DEED","DDEEF6","333333","True","False","BennieGThompson","756","Eastern Time (US & Canada)","none","http://t.co/POCpyzRcHb","-14400","True","","","","","","","","","","",""
"False","1247263375","False","False","U.S. Senator for Louisiana","billcassidy.com","http://www.billcassidy.com","0","22","http://t.co/jJ1FDxCJeE","80","False","20716","False","1187","True","False","55677432","55677432","False","False","en","1257","Baton Rouge, LA","Bill Cassidy","False","CCCCCC","http://pbs.twimg.com/profile_background_images/82422585/x08df37aebf44ad6770d512ea8e2ff1f.png","https://pbs.twimg.com/profile_background_images/82422585/x08df37aebf44ad6770d512ea8e2ff1f.png","True","https://pbs.twimg.com/profile_banners/55677432/1417924098","http://pbs.twimg.com/profile_images/811322431029837824/OIMky_X__normal.jpg","https://pbs.twimg.com/profile_images/811322431029837824/OIMky_X__normal.jpg","666666","000000","333333","999999","False","False","BillCassidy","4526","Central Time (US & Canada)","none","http://t.co/jJ1FDxCJeE","-18000","True","","","","","","","","","","",""
"False","1237846326","False","False","Governor of Tennessee.","tn.gov/governor","http://www.tn.gov/governor","0","22","http://t.co/1Pyg2hlmVg","25","False","70622","False","7851","False","False","26103389","26103389","False","False","en","1209","Tennessee","Gov. Bill Haslam","False","131516","http://abs.twimg.com/images/themes/theme14/bg.gif","https://abs.twimg.com/images/themes/theme14/bg.gif","True","https://pbs.twimg.com/profile_banners/26103389/1357673058","http://pbs.twimg.com/profile_images/1801937677/t_sq_normal.jpg","https://pbs.twimg.com/profile_images/1801937677/t_sq_normal.jpg","009999","EEEEEE","EFEFEF","333333","False","False","BillHaslam","1649","Central Time (US & Canada)","none","http://t.co/1Pyg2hlmVg","-18000","True","","","","","","","","","","",""
"False","1215801204","False","False","Representing #OH5. Deputy Whip. Member of @HouseCommerce Committee. Chairman of the Digital Commerce & Consumer Protection Subcommittee.","latta.house.gov","http://latta.house.gov","0","22","http://t.co/dSKBcpo6FL","468","False","29159","False","5854","True","False","15394954","15394954","False","False","en","1267","ÜT: 41.052377,-82.130057","U.S. Rep. Bob Latta","False","4F4F4F","http://pbs.twimg.com/profile_background_images/33494886/latta-twt.gif","https://pbs.twimg.com/profile_background_images/33494886/latta-twt.gif","False","https://pbs.twimg.com/profile_banners/15394954/1436980975","http://pbs.twimg.com/profile_images/621369511636135937/Zk5PgsWw_normal.jpg","https://pbs.twimg.com/profile_images/621369511636135937/Zk5PgsWw_normal.jpg","3B94D9","550000","B2CEED","333333","True","False","boblatta","5785","Eastern Time (US & Canada)","none","http://t.co/dSKBcpo6FL","-14400","True","","","","","","","","","","",""
"False","1239370683","False","False","Proudly serving California's San Fernando Valley in the U.S. Congress. Admission: Some tweets are prepared by my staff on my behalf. RTs are not an endorsement.","BradSherman.house.gov","http://BradSherman.house.gov","0","23","https://t.co/SyFUwfPtR8","0","False","23126","False","512","False","False","30216513","30216513","False","False","en","912","Sherman Oaks, CA","Rep. Brad Sherman","False","022330","http://abs.twimg.com/images/themes/theme15/bg.png","https://abs.twimg.com/images/themes/theme15/bg.png","False","https://pbs.twimg.com/profile_banners/30216513/1496687487","http://pbs.twimg.com/profile_images/131821361/Rep._Sherman_Official_Portrait.sm2_normal.jpg","https://pbs.twimg.com/profile_images/131821361/Rep._Sherman_Official_Portrait.sm2_normal.jpg","1B95E0","A8C7F7","C0DFEC","333333","False","False","BradSherman","1117","Pacific Time (US & Canada)","none","https://t.co/SyFUwfPtR8","-25200","True","","","","","","","","","","",""
